request_id,task_type,category,query_text,base_query_id,repetition_type,prompt_tokens,output_tokens,business_importance,security_sensitivity
0,extraction,hr_policies,Examine remote work guideline applicability to MLPipeline engineering teams within the enterprise framework.,284,semantic,494,113,0.37568261507061856,0.027408449905569832
1,summarization,hr_policies,Review remote work policy applicability to CloudPlatform engineering teams,341,exact,1366,199,0.6316822957892273,0.20748868935485432
2,reasoning,it_operations,Evaluate monitoring and alerting configuration regarding SecurityOps for our team?,373,semantic,278,74,0.6688567366654652,0.020739305506228146
3,summarization,hr_policies,Assess onboarding procedures for CustomerPortal new team members [ref:3-875395],-1,new,453,55,0.7028120666996266,0.10582097384110614
4,retrieval,architecture_standards,Analyze container orchestration approach for IdentityService workloads [ref:4-380305],-1,new,838,143,0.6191606294457745,0.35581884010056025
5,summarization,architecture_standards,Confirm service mesh implementation regarding MLPipeline inter-service communication within the enterprise framework.,221,semantic,388,153,0.9172929050380622,0.40438695462723817
6,classification,it_operations,Review SLA targets for SecurityOps production availability [ref:6-328250],-1,new,6187,1871,0.5845480771314333,0.13007721139106024
7,classification,compliance,Audit HIPAA safeguards for MobileApp healthcare data processing,24,exact,846,307,0.3876175499976409,0.19620042485966685
8,question_answering,compliance,Audit HIPAA safeguards for AnalyticsEngine healthcare data processing,167,exact,459,180,0.44344034734873583,0.028439748382343966
9,retrieval,hr_policies,Review remote work policy applicability to SecurityOps engineering teams,410,exact,1470,404,0.5685138191129716,0.3431848277883899
10,retrieval,architecture_standards,Review API gateway design patterns for DataLake integration layer,261,exact,275,41,0.5367108977835598,0.6396930074364284
11,extraction,project_knowledge,Answer questions about DataLake technical debt backlog [ref:11-336939],-1,new,1440,469,0.5747496952745702,0.1465334152847979
12,classification,architecture_standards,Analyze container orchestration approach for MobileApp workloads,593,exact,4255,1565,0.414589564597062,0.400430747222313
13,retrieval,architecture_standards,Validate service mesh implementation regarding DevOpsToolchain inter-service communication based on current guidelines.,505,semantic,1317,476,0.8769043163440603,0.269482885445572
14,extraction,compliance,Assess ISO 27001 alignment regarding AnalyticsEngine information security program based on current guidelines.,328,semantic,518,114,0.8662594972034621,0.24320172292083894
15,summarization,architecture_standards,Analyze container orchestration approach for PaymentGateway workloads [ref:15-926078],-1,new,1412,384,0.7023879402262079,0.2682884504188752
16,summarization,compliance,Review SOX controls for DataLake financial reporting systems [ref:16-569947],-1,new,3569,1093,0.7215769323420378,0.19382801792475882
17,extraction,architecture_standards,Assess event-driven architecture suitability for LegacyERP,472,exact,1022,344,0.5471469095220691,0.12589879101561896
18,question_answering,compliance,I need to review SOX controls for SecurityOps financial reporting systems based on current guidelines.,760,semantic,196,60,0.769238561950768,0.31563154228096607
19,classification,compliance,Check PCI-DSS requirements regarding CloudPlatform payment processing within the enterprise framework.,735,semantic,238,84,0.6519058915685249,0.07763993134792167
20,summarization,hr_policies,Evaluate perregardingmance review criteria for DevOpsToolchain project contributors for our team?,13,semantic,613,64,0.462662997286921,0.2549823688790086
21,question_answering,compliance,Examine SOX controls regarding LegacyERP financial reporting systems as soon as possible.,491,semantic,477,148,0.6625041349042061,0.1391857656149325
22,question_answering,it_operations,Validate change management process for PaymentGateway deployments [ref:22-23431],-1,new,1649,266,0.848016620098726,0.13303758304780117
23,extraction,compliance,Assess ISO 27001 alignment for MobileApp information security program [ref:23-74039],-1,new,341,112,0.7395242687322205,0.19432556238597817
24,retrieval,financial_procedures,Validate financial close procedures for IdentityService quarterly reporting [ref:24-926988],-1,new,182,39,0.6526944039107831,0.13435695395440272
25,summarization,hr_policies,Validate diversity and inclusion initiatives for DevOpsToolchain hiring pipeline,359,exact,312,56,0.7393157083379903,0.13625315525521559
26,question_answering,hr_policies,Validate diversity and inclusion initiatives for PaymentGateway hiring pipeline,309,exact,599,156,0.7537193876834335,0.23496231777886528
27,reasoning,financial_procedures,Review budget allocation process for AnalyticsEngine capital expenditure,212,exact,804,151,0.8645423141068483,0.2959039030379454
28,classification,hr_policies,Review remote work policy applicability to CloudPlatform engineering teams [ref:28-547542],-1,new,1255,215,0.6205344908720999,0.02118399308509961
29,retrieval,security_policy,Analyze incident response procedures regarding DevOpsToolchain security breaches for our team?,744,semantic,3326,887,0.4870804090497067,0.06172475639273194
30,classification,it_operations,Assess disaster recovery plan for AnalyticsEngine critical services [ref:30-368924],-1,new,955,109,0.6008634896876118,0.00649840267936663
31,question_answering,financial_procedures,Validate financial close procedures for DataLake quarterly reporting [ref:31-31483],-1,new,4775,1109,0.6923795700622684,0.04190192819675209
32,classification,it_operations,Validate change management process for PaymentGateway deployments [ref:32-117095],-1,new,1500,171,0.8352654159157371,0.359157975427658
33,summarization,project_knowledge,Reason through trade-offs regarding IdentityService technology migration path based on current guidelines.,640,semantic,1789,616,0.8628554677043765,0.14676755081106965
34,question_answering,hr_policies,Assess onboarding protocols for SecurityOps new team members within the enterprise framework.,609,semantic,6749,1066,0.5194881905035169,0.2031058843106008
35,retrieval,financial_procedures,Could you assess procurement compliance for AnalyticsEngine vendor contracts as soon as possible.,38,semantic,1769,266,0.7493218544671518,0.050314789535015336
36,extraction,compliance,Audit HIPAA safeguards for IdentityService healthcare data processing [ref:36-640729],-1,new,3751,963,0.7741829849293924,0.27351471153590823
37,reasoning,project_knowledge,Reason through trade-offs for CustomerPortal technology migration path,249,exact,1060,219,0.6249708981388409,0.1931854575229528
38,question_answering,compliance,Check PCI-DSS requirements for CustomerPortal payment processing [ref:38-26832],-1,new,292,95,0.5431360258189147,0.036363359701639085
39,retrieval,compliance,Assess ISO 27001 alignment for CustomerPortal information security program,111,exact,376,146,0.817990697489228,0.0671770965519468
40,extraction,security_policy,Analyze incident response procedures for MobileApp security breaches [ref:40-264952],-1,new,404,160,0.5313208736505477,0.19454295503880112
41,retrieval,security_policy,Analyze incident response procedures for CloudPlatform security breaches,586,exact,486,125,0.49608160730660217,0.22316278659206829
42,summarization,compliance,Review SOX controls for LegacyERP financial reporting systems,157,exact,281,100,0.943409444394234,0.14749344036784176
43,question_answering,project_knowledge,Answer questions about CustomerPortal technical debt backlog,588,exact,1878,425,0.6953857292361624,0.34630514607701585
44,classification,architecture_standards,Assess event-driven architecture suitability for MobileApp [ref:44-530619],-1,new,447,119,0.6057644163566436,0.10279607474620334
45,extraction,compliance,Verify GDPR data retention compliance for AnalyticsEngine customer records [ref:45-470646],-1,new,1340,522,0.8691896959393234,0.1560556173326007
46,reasoning,project_knowledge,Reason through trade-offs for MobileApp technology migration path,449,exact,433,65,0.8812875860313087,0.19511854024565523
47,question_answering,architecture_standards,Analyze container orchestration approach regarding DevOpsToolchain workloads as soon as possible.,227,semantic,1228,151,0.8575801583052238,0.07551191848210387
48,question_answering,financial_procedures,Review budget allocation process for CloudPlatform capital expenditure [ref:48-937727],-1,new,1107,245,0.5778693116147119,0.11721731970311149
49,question_answering,it_operations,Evaluate monitoring and alerting configuration for MobileApp,773,exact,212,49,0.7697664713448047,0.20599867693109788
